,Date,Exchange,Cause of Hack,Amount Stolen (USD),Notes,Source,Tags,NeedDiscussion
129,"2019, February 15",Coinmama,"Data leak of users private information, possibly due to phishing","$450,000 ",user's private details,"https://medium.com/the-capital/altcoin-news-massive-hack-450-000-coinmama-user-accounts-are-compromised-a7c2769a92cc, https://support.coinmama.com/hc/en-us/articles/360012589700-Phishing-attacks",phishing,0
130,"2019, January 26",LocalBitcoins,Stole 2FA details by hacking DNS server and replacing website with fake phishing version,"$27,000 ",,https://nederob.medium.com/trading-site-localbitcoins-hacked-39e5c37a6254,phishing,0
131,"2018, October 28",Maplechange,"Potential exit scam, user information hacked with no cause given","$51,000 ",,https://www.coinspeaker.com/canadian-crypto-exchange-maplechange-gets-hacked-all-the-funds-gone/,insider trade or other activities,0
132,"2018, September 14",Zaif,Gained access to hot wallet through unknown methods,"$60,000,000 ",,https://www.coindesk.com/markets/2018/09/20/crypto-exchange-zaif-hacked-in-60-million-bitcoin-theft/,compromised private key-wallet,0
133,"2018, June 18",Bithumb,Potentially phishing of users' private information,"$31,000,000 ",,https://www.coindesk.com/markets/2018/06/20/bithumb-31-million-crypto-exchange-hack-what-we-know-and-dont/,phishing,0
135,"2018, April 13",CoinSecure,Suspected trusted insider/employee error potentially due to exposure of private keys,"$3,500,000 ",,https://bitcoinist.com/3-5-million-bitcoin-stolen-coinsecure-exchange-hack-security-chief-suspected/,compromised private key-wallet,0
136,"2018, February 10",Bitgrail,permission bug to request withdraw to wallet address using another account balance and local javascript validation code bypass to withdraw more funds than owned,"$146,000,000 ",,https://www.financemagnates.com/cryptocurrency/news/170-million-mistake-bitgrail-may-aware-bug-led-hack/,compromised private key-wallet,0
137,"2018, January 27",CoinCheck,terminal in company infected with malware to steal private keys,"$560,000,000 ",,"https://www.sciencedirect.com/science/article/pii/S2665910721000724#:~:text=The%20hacking%20was%20possible%20because,funds%20are%20stored%20securely%20offline.",compromised private key/malware,0
139,"2017, July 5",Bithumb,"Data leak of users private information, possibly due to DDOS attack","$7,000,000 ",,"https://cointelegraph.com/news/korean-bitcoin-exchange-bithumb-keeps-quiet-on-lost-funds-compensates-hacked-users , https://cointelegraph.com/news/south-korean-cryptocurrency-exchange-bithumb-to-compensate-users-following-the-hacking",compromised private key-wallet,0
138,"2017, December 20",EtherDelta,Server DNS compromised to divert users to fake website and phish user information,"$1,400,000 ",,https://www.justice.gov/usao-ndca/pr/us-government-seeks-information-about-victims-december-2017-etherdelta-hack,phishing,0
140,"2017, April 22",Yapizon,Gained access to hot wallet using DDOS and phishing methods,"$5,300,000 ",,https://www.newsbtc.com/news/south-korean-yapizon-bitcoin-exchange-confirms-hack-loses-5-mil-bitcoin/,phishing,0
142,"2016, August 2",Bitfinex,"Unknown, stemming from validaion errors in 2/3 multisignature system","$623,000,000 ",,https://www.coindesk.com/markets/2016/08/03/the-bitfinex-bitcoin-hack-what-we-know-and-dont-know/,unsafe multisignature strategy,0
143,"2016, May 9",Gatecoin,Breached system and altered deposit transfers to bypass multisignature cold storage directly to hot wallets,"$2,140,000 ",,https://www.coindesk.com/markets/2016/05/16/gatecoin-claims-2-million-in-bitcoins-and-ethers-lost-in-security-breach/,compromised private key-wallet,0
144,"2016, April 7",Shapeshift,Mutliple employees emptied out hot wallet using backdoor installed in dev's computer,"$230,000 ",,"https://www.financemagnates.com/cryptocurrency/exchange/shapeshift-lost-230-three-hacks-within-one-month/ , https://hackingdistributed.com/2016/04/25/shapeshift-hack-simply-incredible/",backdoor/insider trade or other activities,0
145,"2015, February 16",BTER,Cold wallet hacked through unknown method,"$1,750,000 ",,https://www.coindesk.com/markets/2015/02/15/bter-claims-175-million-in-bitcoin-stolen-in-cold-wallet-hack/,compromised private key-wallet,0
146,"2015, December 11",Bitstamp,Compromised hot wallet,"$5,000,000 ",,"https://thehackernews.com/2015/01/bitstamp-bitcoin-exchange-hacked.html , https://www.coindesk.com/markets/2015/01/05/bitstamp-reports-hot-wallet-issue-tells-customers-to-not-deposit-bitcoin/",compromised private key-wallet,0
147,"2015, August 15",BTER,Gained access to central account through unknown methods,"$1,650,000 ",,https://www.coindesk.com/markets/2014/08/15/hackers-steal-165-million-in-nxt-from-bter-exchange/,compromised private key-wallet,0
148,"2014, July 13",Mintpal,SQL injection used to initialize wallet withdrawal and failure to secure customer coin balances in cold wallets,"$2,000,000 ",,https://www.coindesk.com/markets/2014/07/14/8-million-vericoin-hack-prompts-hard-fork-to-recover-funds/,compromised private key-wallet,0
149,"2014, March 4",Poloniex,lack of protections for negative balances caused by instantaneous multiple withdrawals allowing for valid database and subsequent withdrawal insertions,"$50,000 ",,https://www.coindesk.com/markets/2014/03/05/poloniex-loses-123-of-its-bitcoins-in-latest-bitcoin-exchange-hack/,unhandled or mishandled exception,0
150,"2014, February",Mt. Gox,copied database file to gain access to hot wallet private keys,"$460,000,000 ",,"https://jimmysong.medium.com/mt-gox-hack-technical-explanation-37ea5549f715, https://blog.wizsec.jp/2017/07/breaking-open-mtgox-1.html",compromised private key-wallet,0
151,"2013, November 11",Bitcash,Wallets hacked through web interface and phishing attempts,"$100,000 ",,https://cointelegraph.com/news/hackers_attacked_czech_bitcoin_exchange_and_emptied_users_wallets,phishing,0
152,"2012, September 12",Bitfloor,Compromised servers and gained access to unencrypted backup of wallet keys,"$250,000 ",,https://bitcoinmagazine.com/business/bitfloor-hacked-250000-missing-1346821046,compromised private key-wallet,0
153,"2012, March 1",Bitcoinica,Compromised server via intercepted email to change password and gain access,"$87,000 ",,https://siliconangle.com/2012/05/14/bitcoinica-suffers-staggering-87000-bitcoin-loss-in-server-breach/,compromised system-servers,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,"tags: phishing, malware, compromised private key, flashloan, price manipulation, code injection, internal book-keeping, validation error, unexpected value",,,,,
,,,"search terms: rug pull, exploit, hack, vulnerability, security (concern), whales, bad actor, code injection, malware, ",,,,,
